Dataset type,Judge model,Train dataset,Test dataset,Type,Accuracy,Precision,Recall,F1,AUROC,ECE,ECE_lo,ECE_hi,ECE_em,ECE_em_lo,ECE_em_hi,RMSCE_db,RMSCE_db_lo,RMSCE_db_hi,SmECE,SmECE_lo,SmECE_hi,Recovery,Validity
syn,llama-3.1-8b,pond,pond,NTP,0.754978354978355,0.6513353115727003,0.5701298701298702,0.6080332409972299,0.8095394459436667,0.04948967289989649,0.039975227381043914,0.06149001879123629,0.051817750162573284,0.04296928326564098,0.06549241774540404,0.058598180226842156,0.04769030382586324,0.07394008564587257,0.04569348638437964,0.03640595334870275,0.05498101942005652,0.5701298701298702,0.6513353115727003
syn,llama-3.1-8b,pond,pond,Probe,0.8244588744588744,0.7647058823529411,0.6837662337662338,0.7219746314706891,0.8974696407488616,0.04785980912530116,0.04163781205941923,0.06006436100836064,0.04851534939172558,0.04069079477052884,0.059474856059082586,0.05209494591343806,0.04349105557447066,0.06600980776027629,0.048803680161940234,0.039775460554947316,0.05783189976893315,0.6837662337662338,0.7647058823529411
syn,llama-3.1-8b,pond,nfix,NTP,0.682256867112101,0.5813953488372093,0.16703786191536749,0.25951557093425603,0.655935486431119,0.13597492887341547,0.11487265284831064,0.1616084436459593,0.13441031175716828,0.11196413896135247,0.15936548269363182,0.13991294105426844,0.12137431498071315,0.17112272220877553,0.13081255410771794,0.1093679562116178,0.1522571520038181,0.16703786191536749,0.5813953488372093
syn,llama-3.1-8b,pond,nfix,Probe,0.6666666666666666,0.5,0.29398663697104677,0.3702664796633941,0.6500277776399919,0.07921927603123574,0.0647669315106506,0.10827469901882308,0.08852201935520138,0.06706677374307261,0.11122214932227567,0.09136096772338559,0.07245550399981388,0.12357620802755391,0.07611120283804941,0.059191319559034866,0.09303108611706395,0.29398663697104677,0.5
syn,llama-3.1-8b,nfix,nfix,NTP,0.6844840386043058,0.5555555555555556,0.267260579064588,0.3609022556390978,0.655935486431119,0.07811996295584996,0.060876779161491645,0.10658007331548014,0.07933577870402805,0.06674012278278373,0.11085135980533824,0.09236433830367718,0.07470524793623684,0.1286667981422553,0.0771992944251626,0.05616313512294868,0.09823545372737652,0.267260579064588,0.5555555555555556
syn,llama-3.1-8b,nfix,nfix,Probe,0.6926503340757239,0.6223776223776224,0.19821826280623608,0.30067567567567566,0.6822225584198491,0.0862096235061238,0.0688928430594704,0.11173824397713805,0.08299469693204536,0.06795862653545957,0.1095496089352993,0.09007241040264713,0.07455445497871019,0.12452321583421208,0.07524968312034923,0.05433480023609982,0.09616456600459863,0.19821826280623608,0.6223776223776224
syn,llama-3.1-8b,nfix,pond,NTP,0.7365800865800866,0.5907813378302417,0.6824675324675324,0.6333232901476348,0.8095394459436667,0.11813451322011748,0.10631337000885333,0.12965525330487931,0.11813451322011749,0.10657131530586927,0.12965525330487931,0.12699546329175596,0.11514382420523864,0.14083276378382467,0.11810971258730116,0.10413087028957757,0.13208855488502474,0.6824675324675324,0.5907813378302417
syn,llama-3.1-8b,nfix,pond,Probe,0.7367965367965368,0.6208955223880597,0.5402597402597402,0.5777777777777777,0.7801619160060719,0.05527715465094446,0.0452707121949278,0.06758665321895249,0.05578852777502899,0.04483325395154979,0.06803303152858774,0.05692236963144854,0.04722902538817866,0.07280189122208942,0.053029836228096226,0.04273136188838016,0.0633283105678123,0.5402597402597402,0.6208955223880597
syn,mistral-7b,pond,pond,NTP,0.6666666666666666,,0.0,,0.711910840782594,0.014034712968938937,0.006647672094389637,0.027007940622756525,0.05032402915554401,0.04044559860852977,0.06338229074997426,0.06530653038625073,0.05251024007006024,0.08128078677551731,0.01989813430420843,0.014456222696408866,0.025340045912007995,0.0,0.0
syn,mistral-7b,pond,pond,Probe,0.8186147186147186,0.7896039603960396,0.6214285714285714,0.6954941860465116,0.8902099848203745,0.06238534491751323,0.05605031972436404,0.0736382946695714,0.0593047046274496,0.055890082193434304,0.07201703684608159,0.08014613728048108,0.07116178775288626,0.09005691166115651,0.05570026513889415,0.047662327065915,0.0637382032118733,0.6214285714285714,0.7896039603960396
