document_id,name,identifiers,location,ecosystem,date,additional_details,attribute,value,units
classification_trees,3fnt,,belgium,pond,,,max_depth,0.4,m
classification_trees,bcmb,,belgium,pond,,,max_depth,0.8,m
classification_trees,beml,,belgium,pond,,,max_depth,1.0,m
classification_trees,blkd,,belgium,pond,,,max_depth,1.4,m
classification_trees,botn,,belgium,pond,,,max_depth,0.8,m
classification_trees,brpk,,belgium,pond,,,max_depth,0.7,m
classification_trees,ckrv,,belgium,pond,,,max_depth,0.7,m
classification_trees,dens,,belgium,pond,,,max_depth,0.7,m
classification_trees,esec,,belgium,pond,,,max_depth,0.6,m
classification_trees,hoef,,belgium,pond,,,max_depth,0.8,m
classification_trees,hrt1,,belgium,pond,,,max_depth,1.1,m
classification_trees,hrt1,,belgium,pond,,,max_depth,1.5,m
classification_trees,ixp1,,belgium,pond,,,max_depth,1.7,m
classification_trees,ixp2,,belgium,pond,,,max_depth,1.3,m
classification_trees,leyb-a,,belgium,pond,,,max_depth,0.6,m
classification_trees,leyb-b,,belgium,pond,,,max_depth,0.8,m
classification_trees,malu,,belgium,pond,,,max_depth,1.8,m
classification_trees,mlgr,,belgium,pond,,,max_depth,1.2,m
classification_trees,mlkl,,belgium,pond,,,max_depth,0.9,m
classification_trees,mrcn,,belgium,pond,,,max_depth,0.5,m
classification_trees,nrpd1,,belgium,pond,,,max_depth,0.9,m
classification_trees,nrpd2,,belgium,pond,,,max_depth,0.5,m
classification_trees,nrpd4,,belgium,pond,,,max_depth,0.7,m
classification_trees,pchr,,belgium,pond,,,max_depth,1.0,m
classification_trees,plbs,,belgium,pond,,,max_depth,1.5,m
classification_trees,prb1,,belgium,pond,,,max_depth,1.2,m
classification_trees,prb2,,belgium,pond,,,max_depth,0.8,m
classification_trees,prm2,,belgium,pond,,,max_depth,1.1,m
classification_trees,rkl2,,belgium,pond,,,max_depth,2.0,m
classification_trees,rkl3,,belgium,pond,,,max_depth,2.9,m
classification_trees,rkl4,,belgium,pond,,,max_depth,1.3,m
classification_trees,rkl5,,belgium,pond,,,max_depth,0.8,m
classification_trees,sbsk,,belgium,pond,,,max_depth,0.8,m
classification_trees,sclm,,belgium,pond,,,max_depth,1.2,m
classification_trees,silx,,belgium,pond,,,max_depth,1.2,m
classification_trees,tenr,,belgium,pond,,,max_depth,1.3,m
classification_trees,trbr,,belgium,pond,,,max_depth,1.1,m
classification_trees,trcg,,belgium,pond,,,max_depth,1.1,m
classification_trees,trln,,belgium,pond,,,max_depth,0.8,m
classification_trees,trsg,,belgium,pond,,,max_depth,1.4,m
classification_trees,trsp,,belgium,pond,,,max_depth,0.6,m
classification_trees,vbk1,,belgium,pond,,,max_depth,1.2,m
classification_trees,vbk2,,belgium,pond,,,max_depth,1.4,m
classification_trees,vkn1,,belgium,pond,,,max_depth,1.2,m
classification_trees,vkn2,,belgium,pond,,,max_depth,1.0,m
classification_trees,wpk1,,belgium,pond,,,max_depth,1.1,m
classification_trees,wpk2,,belgium,pond,,,max_depth,1.1,m
classification_trees,wtml,,belgium,pond,,,max_depth,1.1,m
environmental_conditions,karst1,,southwest slovenia,karst pond,,,max_depth,0.7,m
environmental_conditions,karst10,,southwest slovenia,karst pond,,,max_depth,0.6,m
environmental_conditions,karst11,,southwest slovenia,karst pond,,,max_depth,3.0,m
environmental_conditions,karst12,,southwest slovenia,karst pond,,,max_depth,0.7,m
environmental_conditions,karst13,,southwest slovenia,karst pond,,,max_depth,0.5,m
environmental_conditions,karst14,,southwest slovenia,karst pond,,,max_depth,0.4,m
environmental_conditions,karst15,,southwest slovenia,karst pond,,,max_depth,0.5,m
environmental_conditions,karst16,,southwest slovenia,karst pond,,,max_depth,0.6,m
environmental_conditions,karst17,,southwest slovenia,karst pond,,,max_depth,1.0,m
environmental_conditions,karst18,,southwest slovenia,karst pond,,,max_depth,1.1,m
environmental_conditions,karst19,,southwest slovenia,karst pond,,,max_depth,0.3,m
environmental_conditions,karst2,,southwest slovenia,karst pond,,,max_depth,1.5,m
environmental_conditions,karst20,,southwest slovenia,karst pond,,,max_depth,0.2,m
environmental_conditions,karst21,,southwest slovenia,karst pond,,,max_depth,0.3,m
environmental_conditions,karst22,,southwest slovenia,karst pond,,,max_depth,0.9,m
environmental_conditions,karst23,,southwest slovenia,karst pond,,,max_depth,2.6,m
environmental_conditions,karst24,,southwest slovenia,karst pond,,,max_depth,2.2,m
environmental_conditions,karst25,,southwest slovenia,karst pond,,,max_depth,1.0,m
environmental_conditions,karst26,,southwest slovenia,karst pond,,,max_depth,0.9,m
environmental_conditions,karst27,,southwest slovenia,karst pond,,,max_depth,0.3,m
environmental_conditions,karst28,,southwest slovenia,karst pond,,,max_depth,1.3,m
environmental_conditions,karst3,,southwest slovenia,karst pond,,,max_depth,0.3,m
environmental_conditions,karst4,,southwest slovenia,karst pond,,,max_depth,1.2,m
environmental_conditions,karst5,,southwest slovenia,karst pond,,,max_depth,3.3,m
environmental_conditions,karst6,,southwest slovenia,karst pond,,,max_depth,0.4,m
environmental_conditions,karst7,,southwest slovenia,karst pond,,,max_depth,0.8,m
environmental_conditions,karst8,,southwest slovenia,karst pond,,,max_depth,0.2,m
environmental_conditions,karst9,,southwest slovenia,karst pond,,,max_depth,1.3,m
habitat_characteristics,aqg,,the apennines; italy,pond,,,max_depth,0.9,m
habitat_characteristics,aqp,,the apennines; italy,pond,,,max_depth,1.0,m
habitat_characteristics,bag,,the apennines; italy,pond,,,max_depth,0.5,m
habitat_characteristics,bar,,the apennines; italy,pond,,,max_depth,2.05,m
habitat_characteristics,cag,,the apennines; italy,pond,,,max_depth,0.9,m
habitat_characteristics,cal,,the apennines; italy,pond,,,max_depth,3.5,m
habitat_characteristics,cam,,the apennines; italy,pond,,,max_depth,0.4,m
habitat_characteristics,cap,,the apennines; italy,pond,,,max_depth,1.6,m
habitat_characteristics,cor,,the apennines; italy,pond,,,max_depth,1.0,m
habitat_characteristics,duc,,the apennines; italy,pond,,,max_depth,1.65,m
habitat_characteristics,fil,,the apennines; italy,pond,,,max_depth,1.3,m
habitat_characteristics,fon,,the apennines; italy,pond,,,max_depth,1.3,m
habitat_characteristics,fos,,the apennines; italy,pond,,,max_depth,1.2,m
habitat_characteristics,lag,,the apennines; italy,pond,,,max_depth,0.5,m
habitat_characteristics,mau,,the apennines; italy,pond,,,max_depth,0.4,m
habitat_characteristics,nur,,the apennines; italy,pond,,,max_depth,0.4,m
habitat_characteristics,paa,,the apennines; italy,pond,,,max_depth,0.6,m
habitat_characteristics,pag,,the apennines; italy,pond,,,max_depth,1.5,m
habitat_characteristics,pas,,the apennines; italy,pond,,,max_depth,2.65,m
habitat_characteristics,pbb,,the apennines; italy,pond,,,max_depth,0.7,m
habitat_characteristics,pet,,the apennines; italy,pond,,,max_depth,3.3,m
habitat_characteristics,pra,,the apennines; italy,pond,,,max_depth,1.2,m
habitat_characteristics,ptz,,the apennines; italy,pond,,,max_depth,1.8,m
habitat_characteristics,pzz,,the apennines; italy,pond,,,max_depth,0.3,m
habitat_characteristics,rac,,the apennines; italy,pond,,,max_depth,1.2,m
habitat_characteristics,rva,,the apennines; italy,pond,,,max_depth,0.5,m
habitat_characteristics,rvb,,the apennines; italy,pond,,,max_depth,0.4,m
habitat_characteristics,sec,,the apennines; italy,pond,,,max_depth,4.5,m
habitat_characteristics,ses,,the apennines; italy,pond,,,max_depth,3.0,m
habitat_characteristics,sev,,the apennines; italy,pond,,,max_depth,1.9,m
habitat_characteristics,ter,,the apennines; italy,pond,,,max_depth,7.5,m
impact_of_macrophytes,hoef,,brussels; belgium,pond,,,max_depth,1.1,m
impact_of_macrophytes,m1gr,,brussels; belgium,pond,,,max_depth,1.5,m
impact_of_macrophytes,m1k1,,brussels; belgium,pond,,,max_depth,1.1,m
impact_of_macrophytes,malu,,brussels; belgium,pond,,,max_depth,2.1,m
impact_of_macrophytes,rk12,,brussels; belgium,pond,,,max_depth,2.3,m
impact_of_macrophytes,rk13,,brussels; belgium,pond,,,max_depth,3.1,m
impact_of_macrophytes,rk15,,brussels; belgium,pond,,,max_depth,1.0,m
impact_of_macrophytes,tenr,,brussels; belgium,pond,,,max_depth,1.5,m
impact_of_macrophytes,trbr,,brussels; belgium,pond,,,max_depth,1.5,m
impact_of_macrophytes,vbk1,,brussels; belgium,pond,,,max_depth,1.4,m
impact_of_macrophytes,vbk2,,brussels; belgium,pond,,,max_depth,1.7,m
impact_of_macrophytes,vkn1,,brussels; belgium,pond,,,max_depth,1.4,m
impact_of_macrophytes,vkn2,,brussels; belgium,pond,,,max_depth,1.1,m
impact_of_macrophytes,wpk1,,brussels; belgium,pond,,,max_depth,1.2,m
impact_of_macrophytes,wpk2,,brussels; belgium,pond,,,max_depth,1.3,m
impact_of_macrophytes,wtm1,,brussels; belgium,pond,,,max_depth,1.7,m
macroinvertebrate_size,cg-m1,,tyrrhenian coast; central italy,pond,,,max_depth,20.0,cm
macroinvertebrate_size,cg-m2,,tyrrhenian coast; central italy,pond,,,max_depth,50.0,cm
macroinvertebrate_size,cg-mc,,tyrrhenian coast; central italy,pond,,,max_depth,110.00000000000001,cm
macroinvertebrate_size,cp-c152,,tyrrhenian coast; central italy,pond,,,max_depth,15.0,cm
macroinvertebrate_size,cp-cont,,tyrrhenian coast; central italy,pond,,,max_depth,110.00000000000001,cm
macroinvertebrate_size,cp-d3,,tyrrhenian coast; central italy,pond,,,max_depth,35.0,cm
macroinvertebrate_size,cp-gdp,,tyrrhenian coast; central italy,pond,,,max_depth,20.0,cm
macroinvertebrate_size,cp-ort1,,tyrrhenian coast; central italy,pond,,,max_depth,50.0,cm
macroinvertebrate_size,cp-ort2,,tyrrhenian coast; central italy,pond,,,max_depth,60.0,cm
macroinvertebrate_size,cp-pr,,tyrrhenian coast; central italy,pond,,,max_depth,150.0,cm
macroinvertebrate_size,cp-pvd,,tyrrhenian coast; central italy,pond,,,max_depth,80.0,cm
